Id,Label,Node_value,Node_cluster,Node_cluster_len,Node_lineage,Node_lineage_raw,Node_lineage2
14311,14311-B.1.2,100,95,5809,B.1.2,B.1.2,B.1.2
14801,14801-B.1.1,100,481,1680,B.1.1,B.1.1,B.1.1
15087,15087-B.1.1.284,100,481,1680,B.1.1.284,B.1.1.284,B.1.1
15237,15237-B.1.2,1000,95,5809,B.1.2,B.1.2,B.1.2
15822,15822-B.1.160,100,514,1631,B.1.160,B.1.160,B.1.1
15830,15830-B.1.221,100,647,2530,B.1.221,B.1.221,B.1.221
16083,16083-B.1.1.214,1000,888,2143,B.1.1.214,B.1.1.214,B.1.1
16186,16186-B.1.258,100,389,1832,B.1.258,B.1.258,B.1.258
16259,16259-B.1.1.284,1000,481,1680,B.1.1.284,B.1.1.284,B.1.1
16349,16349-B.1.1.214,100,888,2143,B.1.1.214,B.1.1.214,B.1.1
16374,16374-B.1.1.214,100,811,2244,B.1.1.214,B.1.1.214,B.1.1
16699,16699-B.1.177,1000,119,6109,B.1.177,B.1.177,B.1.177
16860,16860-B.1.1.70,100,853,1201,B.1.1.70,B.1.1.70,Alpha
17321,17321-B.1.177,100,432,2373,B.1.177,B.1.177,B.1.177
17478,17478-B.1,100,585,2274,B.1,B.1,B.1
17994,17994-B.1.177,100,141,4700,B.1.177,B.1.177,B.1.177
18050,18050-B.1.234,1000,585,2274,B.1.234,B.1.234,B.1.234
18062,18062-B.1.177,1000,168,3225,B.1.177,B.1.177,B.1.177
18070,18070-B.1.177,100,700,1379,B.1.177,B.1.177,B.1.177
18083,18083-B.1.177,1000,141,4700,B.1.177,B.1.177,B.1.177
18090,18090-B.1.221,100,647,2530,B.1.221,B.1.221,B.1.221
18137,18137-B.1.258,100,867,1190,B.1.258,B.1.258,B.1.258
18167,18167-B.1.160,1000,80,7378,B.1.160,B.1.160,B.1.1
18264,18264-B.1.389,1000,913,1134,B.1.389,B.1.389,B.1.389
18404,18404-B.1.177,100,860,2139,B.1.177,B.1.177,B.1.177
18406,18406-B.1.1.214,100,811,2244,B.1.1.214,B.1.1.214,B.1.1
18619,18619-B.1.177,1000,302,2061,B.1.177,B.1.177,B.1.177
18717,18717-B.1.243,100,445,1730,B.1.243,B.1.243,B.1.243
18739,18739-B.1.243,100,445,1730,B.1.243,B.1.243,B.1.243
18776,18776-B.1.177,1000,418,2945,B.1.177,B.1.177,B.1.177
18777,18777-B.1.177,100,432,2373,B.1.177,B.1.177,B.1.177
18824,18824-B.1.2,1000,126,3923,B.1.2,B.1.2,B.1.2
19142,19142-B.1.177,100,486,1671,B.1.177,B.1.177,B.1.177
19282,19282-B.1.2,100,901,2171,B.1.2,B.1.2,B.1.2
19670,19670-B.1.258,100,867,1190,B.1.258,B.1.258,B.1.258
19822,19822-B.1.177,100,486,1671,B.1.177,B.1.177,B.1.177
20006,20006-B.1.177,100,467,1698,B.1.177,B.1.177,B.1.177
20007,20007-B.1.177.56,100,486,1671,B.1.177.56,B.1.177.56,B.1.177
20376,20376-A.23,100,568,1545,A.23,A.23,A
20453,20453-A.23,100,568,1545,A.23,A.23,A
20455,20455-A.23,100,568,1545,A.23,A.23,A
20512,20512-B.1.221,100,599,1508,B.1.221,B.1.221,B.1.221
20726,20726-B.1.177,100,700,1379,B.1.177,B.1.177,B.1.177
20774,20774-B.1.177.57,100,486,1671,B.1.177.57,B.1.177.57,B.1.177
20800,20800-B.1.2,100,850,2129,B.1.2,B.1.2,B.1.2
20848,20848-B.1.258,1000,867,1190,B.1.258,B.1.258,B.1.258
20955,20955-B.1.177,100,333,1968,B.1.177,B.1.177,B.1.177
20999,20999-B.1.177.44,1000,860,2139,B.1.177.44,B.1.177.44,B.1.177
21151,21151-B.1.2,100,535,1596,B.1.2,B.1.2,B.1.2
21302,21302-B.1.177,100,418,2945,B.1.177,B.1.177,B.1.177
21336,21336-B.1.2,100,535,1596,B.1.2,B.1.2,B.1.2
21408,21408-B.1.258,100,867,1190,B.1.258,B.1.258,B.1.258
21512,21512-B.1.221,100,647,2530,B.1.221,B.1.221,B.1.221
21540,21540-B.1.389,100,913,1134,B.1.389,B.1.389,B.1.389
21855,21855-B.1.177.21,100,543,1582,B.1.177.21,B.1.177.21,B.1.177
21954,21954-B.1.258,1000,450,2742,B.1.258,B.1.258,B.1.258
22071,22071-B.1.1.70,100,853,1201,B.1.1.70,B.1.1.70,Alpha
